Airport ID,City,Country,Latitude,Longitude,Altitude,Altitude_BIN,Coord_X,Coord_Y,Coord_X_Nearest_End
8771,"Lompoc","United States",34.665600,-120.468002,88,1,-13388.639768,3852.684692,6602.630067
8772,"Coatesville","United States",39.979000,-75.865501,660,1,-8431.582242,4443.208323,11559.687593
8773,"Lashkar Gah","Afghanistan",31.559700,64.364998,2464,1,7153.432891,3507.499473,12846.061768
8774,"Lankaran","Azerbaijan",38.746399,48.818001,30,1,5425.562093,4306.218810,14573.932565
8775,"Qabala","Azerbaijan",40.826667,47.712500,935,1,5302.698332,4537.416799,14696.796326
8776,"Zaqatala","Azerbaijan",41.562222,46.667221,1279,1,5186.527534,4619.165319,14812.967125
8777,"Lake Placid","United States",44.264500,-73.961899,1747,1,-8220.018599,4919.492555,11771.251236
8780,"Yakutsk","Russia",62.103484,129.545288,577,1,14397.476187,6902.091507,5602.018471
8782,"Yuzhno-Kurilsk","Russia",-36.242155,149.130147,2656,1,16574.109127,-4027.900757,3425.385531
8784,"Lima","United States",40.706902,-84.026703,975,1,-9338.606400,4524.106289,10652.663436
8785,"Hamhung","North Korea",39.745201,127.473999,12,1,14167.276120,4417.224229,5832.218539
8789,"Brunswick","United States",31.151800,-81.391296,19,1,-9045.711116,3462.166073,10945.558720
8790,"Beaver Falls","United States",40.772499,-80.391403,1253,1,-8934.584431,4531.396655,11056.685405
8792,"Georgetown","United States",33.311699,-79.319603,39,1,-8815.466101,3702.214100,11175.803735
8793,"Cleveland","United States",35.220100,-84.832397,874,1,-9428.150118,3914.311085,10563.119717
8796,"Renton","United States",47.493099,-122.216003,32,1,-13582.910086,5278.314445,6408.359750
8798,"La Verne","United States",34.091599,-117.781998,1011,1,-13090.121093,3788.891015,6901.148743
8801,"Cross City","United States",29.635500,-83.104797,42,1,-9236.147139,3293.646658,10755.122697
8802,"Clemson","United States",34.671902,-82.886498,892,1,-9211.885607,3853.385073,10779.384228
8804,"Wichita","United States",37.694500,-97.214996,1408,1,-10804.334271,4189.312279,9186.935564
8807,"Padang","Indonesia",-0.874989,100.351997,9,1,11152.975994,-97.245014,8846.518665
8808,"Calhoun","United States",34.455399,-84.939201,647,1,-9440.020148,3829.323227,10551.249687
8809,"Cornelia","United States",34.499901,-83.556702,1448,1,-9286.371129,3834.269144,10704.898706
8811,"Georgetown","United States",30.678801,-97.679398,790,1,-10855.947155,3409.597583,9135.322681
8812,"Rhinebeck","United States",41.971500,-73.862900,323,1,-8209.015991,4664.651929,11782.253845
8813,"Duxford","United Kingdom",52.090801,0.131944,125,1,14.664066,5789.296381,19984.830593
8815,"Sidney","United States",41.101299,-102.985001,4313,2,-11445.604211,4567.939035,8545.665625
8820,"Great Keppel Island","Australia",-23.183300,150.942001,21,1,16775.476002,-2576.558477,3224.018657
8821,"Roper Bar","Australia",-14.734814,134.525485,92,1,14950.968088,-1637.605944,5048.526570
8822,"Mount Garnet","Australia",-17.700001,145.149994,657,1,16131.760661,-1967.152518,3867.733998
8823,"Innisfail","Australia",-17.559401,146.011993,46,1,16227.562041,-1951.526414,3771.932617
8824,"Kapolei","United States",21.307400,-158.070009,30,1,-17567.672477,2368.073659,2423.597359
8825,"Bamyan","Afghanistan",34.817001,67.817001,8367,2,7537.083571,3869.511238,12462.411087
8831,"Moomba","Australia",-28.099400,140.197006,143,1,15581.292765,-3122.926680,4418.201893
8833,"East Tawas","United States",44.312801,-83.422302,606,1,-9271.434145,4924.860696,10719.835690
8834,"Huntsville","United States",34.861401,-86.557503,756,1,-9619.875828,3874.445707,10371.394007
8835,"Leesburg","United States",39.077999,-77.557503,389,1,-8619.628856,4343.072363,11371.640980
8838,"Anoka","United States",45.145000,-93.211401,912,1,-10359.380468,5017.350091,9631.889367
8839,"San Juan Bautista","Chile",-33.665001,-78.929703,433,1,-8772.133155,-3741.479575,11219.136680
8840,"Maamigili","Maldives",3.470556,72.835833,6,1,8094.869309,385.712531,11904.625349
8845,"Yongzhou","China",26.338661,111.610043,340,1,12404.178965,2927.240739,7595.315694
8846,"Mali Losinj","Croatia",44.565800,14.393100,151,1,1599.628320,4952.978607,18399.866338
8847,"Onslow","Australia",-21.668301,115.112999,7,1,12793.492430,-2408.183633,7206.002228
8848,"Theodore","Australia",-24.993299,150.093002,171,1,16681.119477,-2777.719203,3318.375182
8850,"Williamson","United States",43.234699,-77.121002,424,1,-8571.116788,4805.042025,11420.153048
8853,"Fairoaks","United Kingdom",51.348099,-0.558889,80,1,-62.114113,5706.753526,19929.155722
8854,"Boulder","United States",40.039398,-105.225998,5288,2,-11694.665416,4449.920881,8296.604419
8855,"Neustadt-Glewe","Germany",53.359722,11.615278,115,1,1290.905246,5930.322443,18708.589412
8859,"GOETSENHOVEN","Belgium",50.781700,4.957780,246,1,551.000495,5643.804802,19448.494163
8860,"Wildenrath","Germany",53.921944,13.218889,26,1,1469.128256,5992.806932,18530.366403
8861,"Bremgarten","Germany",47.902779,7.617778,696,1,846.628824,5323.845624,19152.865834
8862,"Birburg","Germany",49.945278,6.565000,1220,1,729.624617,5550.846054,19269.870041
8864,"Palo Alto","United States",37.461102,-122.114998,4,1,-13571.684474,4163.372714,6419.585361
8866,"Ust-Nera","Russia",64.550003,143.115005,1805,1,15905.594989,7173.994100,4093.899670
8867,"Vysoke Myto","Czech Republic",49.926899,16.185801,991,1,1798.866544,5548.803438,18200.628115
8868,"Spa","Belgium",50.482498,5.910300,1581,1,656.862180,5610.551927,19342.632478
8869,"Mesa","United States",33.460800,-111.727997,1394,1,-12417.288182,3718.784999,7573.981653
8870,"Cooldige","United States",32.935902,-111.427002,1574,1,-12383.836047,3660.448534,7607.433789
8871,"Cottonwood","United States",34.730000,-112.035004,3550,1,-12451.408479,3859.841984,7539.861357
8872,"Namur","Belgium",50.487999,4.768920,594,1,530.010880,5611.163282,19469.483778
8873,"Hasselt","Belgium",50.970001,5.375070,141,1,597.377516,5664.732288,19402.117143
8874,"Phoenix","United States",32.990806,-111.918528,1300,1,-12438.463542,3666.550525,7552.806294
8875,"Wickenburg","United States",33.968899,-112.799004,2377,1,-12536.318328,3775.254343,7454.951507
8876,"Yangzhou","China",32.563400,119.719800,7,1,13305.485643,3619.049240,6694.009015
8877,"Pontiac","United States",42.665501,-83.420097,980,1,-9271.189124,4741.782113,10720.080712
8880,"Kissidougou","Guinea",9.160560,-10.124400,1808,1,-1125.211207,1018.091368,18866.058628
8888,"Keene","United States",42.898399,-72.270798,488,1,-8032.072069,4767.666140,11959.197767
8890,"Kawama","Cuba",23.124001,-81.301598,16,1,-9035.742121,2569.968020,10955.527714
8892,"Kooddoo","Maldives",0.732400,73.433600,29,1,8161.304233,81.397878,11838.190425
8893,"Glasgow","United States",48.421101,-106.528000,2762,1,-11839.368033,5381.451181,8151.901803
8894,"Rochester","United Kingdom",51.351898,0.503333,436,1,55.939700,5707.175790,19943.554959
8914,"Rio Hondo","Argentina",-27.496600,-64.935950,935,1,-7216.887687,-3055.932407,12774.382149
8918,"Keetmanshoop","Namibia",-26.539801,18.111401,3506,1,2012.874902,-2949.595108,17986.619756
8921,"Kangding","China",30.157500,101.734722,14042,3,11306.650053,3351.660989,8692.844606
8925,"Iowa City","United States",41.639198,-91.546501,668,1,-10174.345905,4627.720354,9816.923930
8926,"Turpan","China",43.030800,89.098700,934,1,9902.300820,4782.380956,10097.193839
8927,"Morro de Sao Paulo","Brazil",-13.389444,-38.910000,3,1,-4324.401180,-1488.083505,15666.868656
8928,"Windom","United States",43.913399,-95.109398,1410,1,-10570.321101,4880.471706,9420.948734
8931,"Longview","United States",44.661701,-119.652000,2080,1,-13297.950497,4963.636960,6693.319339
8932,"Rothera Research Station","United Kingdom",-67.567500,-68.127403,9,1,-7571.581138,-7509.354353,12419.688697
8933,"Sortavala","Russia",61.736099,30.673599,0,1,3409.019514,6861.260896,16590.475145
8935,"Annapolis","United States",38.942902,-76.568398,34,1,-8509.701155,4328.057877,11481.568681
8943,"Cuamba","Mozambique",-14.815000,36.529999,1919,1,4059.891323,-1646.517701,15939.603335
8944,"Bodaibo","Russia",57.866100,114.242996,919,1,12696.801582,6431.154804,7302.693077
8946,"Zhytomyr","Ukraine",50.270556,28.738611,0,1,3193.967715,5586.996981,16805.526943
8948,"Paluknys","Lithuania",54.484848,24.987373,400,1,2777.060581,6055.367309,17222.434077
